Initials,Gender,Age,Country Currently Residing In,Country of Birth,Personal Earth Overshoot Day,Number of Earths,Ecological Footprint,CO2 Emissions -tonnes,Carbon Footprint %,Food -gha,Shelter - gha,Mobility - gha,Goods - gha,Service - gha
FZ,M,87,USA,USA,21-Mar,4.5,7.4,11.1,54,2.2,3.6,0.6,0,1
LJ,F,73,USA,USA,14-Jun,2.2,3.6,6,57,0.7,2.1,0,0.1,0.6
SM,F,62,USA,USA,11-Mar,5.2,8.4,15.2,62,2.1,1,2.9,1.1,1.3
BB,M,61,USA,USA,14-May,2.7,4.4,7.4,58,0.8,1.9,0.6,0.3,0.8
DS,F,52,USA,USA,28-Apr,3.1,4.5,7.7,58,0.7,2,0.9,0.1,0.7
RW,F ,39,USA,USA,18-Mar,5.1,7.6,11.4,51,3.1,3.3,0.1,0,1.1
HF,M,38,USA,China,28-Feb,6.2,10.5,18.9,62,2,3.3,3.3,0.5,1.4
RK,M,33,USA,Taiwan,16-Feb,7.7,12.5,26.7,74,1.6,6.7,1.9,0.9,1.4
AL,M,32,USA,China,14-Feb,8,13,28.4,75,1.4,7.3,2,0.9,1.5
KC,M,32,USA,Taiwan,23-Feb,6.2,10.2,19.5,66,1.8,3.2,2.6,1,1.5
A,M,31,USA,USA,12-Mar,5.1,8.3,14.3,59,2.1,2.1,1.9,0.9,1.3
SZ,M,30,USA,China,18-Feb,7.3,11.9,25.7,74,1.4,6.7,1.5,0.9,1.4
FM,M,30,USA,Korea,24-Feb,6.6,10.8,20.9,67,1.8,3.6,2.9,0.9,1.6
CZ,F,30,USA,USA,17-Mar,4.8,7.8,13.8,61,1.4,2.6,1.8,0.9,1.2
PW,M,30,USA,USA,22-Apr,3.3,5.3,7.5,48,1.2,2.2,0.9,0,1
ZK,M,30,UAE,Jordan ,12-Mar,5.2,8.5,12.6,51,2.9,1.6,1.3,1,1.7
DS,F,30,UAE,Jordan ,28-Feb,6.3,10.2,14.8,50,3.6,1.2,1.7,1.6,2
AC,F,29,USA,USA,14-Feb,8,13.1,23.5,62,3.4,3.1,3.7,1.1,1.8
SM,F,28,USA,USA,17-May,2.7,4.3,7.8,62,0.6,1.5,1.1,0.4,0.8
EC,F,27,USA,USA,16-Mar,4.8,7.8,15.5,68,1.4,2.1,2.7,0.5,1.1
KL,M,26,USA,USA,6-Feb,9.7,15.8,29.8,65,1.4,3.4,6.4,2,2.6
MT,F,26,USA,China,2-Mar,5.9,10.1,17.3,59,2.4,3.3,1,1.9,1.5
HD,F,25,UAE,UAE,24-Mar,4.4,7.2,13.9,66,0.6,1.3,1.8,2.3,1.2
AA,F,25,UAE,UAE,28-Mar,4.2,6.9,12.7,63,1,0.7,1.4,2.7,1.2
WA,M,25,Italy,Sudan,19-Feb,7.4,12,20.8,60,2.9,3.2,2.8,1,2.1
TA,M,24,Egypt,Egypt,8-Feb,9.4,15.4,27.6,62,2.9,4.2,4,1.7,2.5
TS,M,24,UAE,Canada ,28-Feb,6.3,10.2,18.5,62,1.2,1,2.6,3.4,2
FO,M,24,UAE,Jordan ,17-Mar,4.8,7.9,12.3,54,2.8,1.5,0.5,1.7,1.4
HD,F,23,UK,Lebanon,23-Feb,6.8,11.1,20.9,64,0.9,2.8,3.8,1.6,2
FA,F,23,Jordan,Jordan,12-Feb,8.6,14,25.4,62,2,3.4,3.4,2.8,2.4
MS,M,23,UAE,Lebanon,6-Mar,5.6,9.2,16.3,61,2.1,2.4,2.5,0.6,1.6
HH,F,23,UAE,Syria,23-Mar,4.5,7.3,13.1,61,1.9,3,0.9,0.6,1
MH,M,23,UAE,Egypt,1-Mar,6.1,10,15.9,55,2.9,1.5,3,1,1.6
SS,F,23,UAE,Jordan ,2-Mar,6,9.8,15.6,55,2.9,0.4,2.1,2.3,2
AG,F,23,Lebanon,Lebanon,25-Mar,4.4,7.1,11.1,54,1.6,2.4,0.9,1,1.2
ET,F,22,Spain,Spain,24-Feb,6.7,10.9,20.8,66,0.8,6.1,2.2,0.1,1.7
YE,F,22,UAE,Egypt,14-Mar,5,8.2,12.8,53,3,2.1,1,0.8,1.4
SD,F,22,UAE,UAE,11-Apr,3.6,5.9,8.8,51,2.4,1,1.2,0,1.2
M,F,21,UAE,Egypt,18-Jun,6.9,14.6,18.2,64,1.7,2.1,1.3,0.4,1.2
LA,F,21,UAE,UAE,4-Apr,3.9,6.4,8.9,48,2.7,0.2,0.6,1.6,1.3
T,F,20,UAE,Saudi,17-Apr,6.3,9.4,14.2,79,2.4,5.5,2.1,2.1,1.3
T,M,20,UAE,India,16-Dec,9.3,7.4,20.9,64,1.9,6.2,2.7,2,2.2
A,M,19,UAE,Egypt,23-Jul,5.2,13.2,21.4,72,2.4,1.9,2.4,0.4,2.3
T,M,19,UAE,USA,9-May,4.2,6.3,22.4,68,1.4,2.1,1.4,1,1.4
K,M,19,UAE,Lebanon,16-Aug,14.5,12.3,17.8,66,2.2,8.4,2.2,0.6,2.5
A,M,19,UAE,USA,2-Mar,5.3,10.3,19.4,64,1.2,3.2,1.3,0.2,1.3
S,F,19,UK,Turkey,8-Oct,4.6,7.5,17.1,63,1.9,3.4,2.4,0.2,2.9
H,M,19,UAE,Iran,5-May,8.2,14.9,20.6,61,1.4,2.1,1,0.9,1.4
J,F,18,UAE,Egypt,23-Mar,4.9,10.6,18.9,59,1.4,3.5,1.9,1,1.5
E.T.,M,20,USA,USA,24-Mar,4.4,7.1,9.7,47,2.8,1.1,0.2,1.7,1.3
R.F.,M,20,USA,USA,13-Feb,8.3,13.5,23.5,60,2.9,1.9,3.2,3.4,2.1
C.T.,M,52,USA,USA,29-Mar,4.1,6.7,11.3,58,1.5,0.7,1.6,1.7,1.2
T.G.,M,20,USA,USA,8-Apr,3.7,6,10.5,60,1.6,1.8,0.7,1.2,0.8
E.S.,NB,20,USA,USA,9-Apr,3.7,6,11.2,65,1.4,2.1,1.1,0.6,0.7
A.A,M,22,USA,USA,26-Feb,7,11.6,19.4,58,2.4,2.5,1.4,1.6,1.3
D.T,F,49,USA,USA,3-Mar,5.9,9.6,15,54,3.4,2.06,1.1,1,1.5
C.G.,M,65,USA,USA,26-Mar,4.3,6.9,13.4,66,0.5,1.8,2.5,1,1.1
S.T,M,20,USA,USA,1-Mar,6.1,9.9,14.1,49,3.3,1.1,0.3,3.4,1.7
C.B.,M,20,USA,USA,5-Mar,5.7,9.3,15.6,58,2.1,4.1,0.2,1.7,1.2
AA,M,25,UAE,,25-Feb,6.6,10.7,17.7,,3.5,2.3,1.7,1.7,1.5
AA,F,29,UAE,,22-Feb,7,11.4,18.6,,1,6.4,1.1,1,1.8
HA,M,18,UAE,,26-Feb,6.5,10.5,16.5,,3.2,2.3,1.1,2.3,1.6
AI,M,55,UAE,,24-Feb,6.7,11,19.5,,2.7,3.4,1.6,1.8,1.4
MM,F,50,UAE,,25-Feb,6.6,10.7,19.2,,2.8,4.4,0.6,1.6,1.2
IA,F,32,UAE,,7-Mar,5.5,9,15.8,,2.8,3.2,1.6,0.3,1.1
FA,F,30,UAE,,11-Feb,8.8,14.3,28.5,,3,6.1,2.1,1.7,1.4
MA,F,22,UAE,,12-Mar,5.2,8.5,14.4,,2.9,3.5,1,0,1
MA,M,25,UAE,,6-Mar,5.6,9.2,18.7,,1.7,4.7,0.8,1,0.9
HS,F,22,UAE,,12-Feb,8.6,14.1,26.6,,2.4,4.2,2.8,2.9,1.8
